GEOID,community_area_num,community_area_num2,tract_name,VULNERABLE,FLOOD_SUSC,SURFACE_TE,AIR_TOXINS,PERCENT_CA,PRIORITY,RANK,VULRANK,COMMUNITY,asthma_pct,copd_pct,depression_pct,physical_inactivity_pct,mental_health_pct,obesity_pct,TotalPopulation,AQH_score,AQH_score_popweighted,AQH_score_max,AQH_percentile,AQH_block_group_count,AQH_tract_population
17031842400,44,44,Census Tract 8424,0.0199,9.21778003219,81.9094650206,2.216,14.3214,0.58507447186,Very high,High,Chatham,11.5,4.6,14.7,21.3,14.0,35.5,"3,041",47.46,48.079,48.985,77.7,3.0,3084.0
17031840300,59,59,Census Tract 8403,0.073,9.28799665412,81.5133474572,2.306,15.472,0.57722596978,Very high,Very high,Mckinley Park,8.4,5.5,16.4,31.9,14.8,29.8,"4,196",46.69,46.497,49.97,76.3,3.0,3917.0
17031841100,34,34,Census Tract 8411,0.0865,8.54163923332,80.2185243332,2.912,7.57042,0.71817696423,Very high,Very high,Armour Square,7.6,7.5,12.8,37.9,13.2,20.0,"7,356",62.63,62.356,68.735,94.8,4.0,6821.0
17031841200,31,31,Census Tract 8412,0.0838,9.19397937502,82.8409221896,2.304,9.75439,0.74352748936,Very high,Very high,Lower West Side,9.4,4.4,19.5,29.1,17.3,32.5,"4,873",48.96,48.913,50.255,80.3,3.0,5183.0
17031839000,32,32,Census Tract 8390,-0.0665,8.63392051809,77.7999999992,3.639,13.2173,0.61102676093,Very high,Low,Loop,9.2,2.7,20.6,14.0,14.8,23.9,"10,435",23.998,23.497,31.907,30.8,4.0,8542.0
17031838200,28,28,Census Tract 8382,0.0758,9.30772460285,80.4313385834,2.199,14.2889,0.520617342,High,Very high,Near West Side,8.0,2.3,16.5,15.2,14.6,19.7,"1,675",33.559,33.369,34.479,51.5,2.0,2028.0
17031650301,65,65,Census Tract 6503.01,0.0259,9.32204815502,84.258536585,2.938,15.094,0.84985741018,Very high,High,West Lawn,9.2,5.8,18.8,34.1,16.8,36.7,"5,829",40.362,40.417,46.373,64.8,4.0,5568.0
17031530503,53,53,Census Tract 5305.03,0.0266,8.90784285355,78.0539215694,1.65,29.0937,-0.01292086046,Medium,High,West Pullman,12.6,7.3,16.6,29.0,16.7,41.5,"4,898",39.718,39.775,41.117,63.7,3.0,5846.0
17031760803,76,76,Census Tract 7608.03,0.1341,6.01519321144,79.2264285716,4.321,37.3225,0.25992071508,High,Very high,Ohare,9.8,5.3,21.8,19.4,16.1,28.8,"6,394",28.621,28.462,31.255,41.5,4.0,5579.0
17031030601,77,77,Census Tract 306.01,0.0591,6.473923562,75.2374999994,3.65,11.0444,0.38930118302,High,Very high,Edgewater,9.5,5.8,18.8,21.9,14.6,29.8,"3,293",21.978,21.374,24.886,26.3,3.0,4066.0
17031030604,77,77,Census Tract 306.04,0.008,3.94463299394,76.131578948,3.827,13.1982,0.24889713907,Medium,Medium,Edgewater,8.9,4.8,18.0,18.9,13.3,26.8,"3,737",20.049,19.475,23.998,22.3,3.0,3225.0
17031020801,2,2,Census Tract 208.01,0.0381,8.81971114684,80.395061729,2.995,21.7526,0.50562395975,High,High,West Ridge,8.8,5.0,17.6,23.1,14.0,27.5,"5,648",28.609,29.547,35.034,41.8,4.0,5211.0
17031540102,54,54,Census Tract 5401.02,0.0428,8.7021503225,76.7673119012,1.347,12.4103,0.13867583237,Medium,High,Riverdale,15.2,11.7,22.1,41.9,24.7,49.4,"2,938",45.345,45.582,45.904,75.0,3.0,3513.0
17031843300,29,29,Census Tract 8433,0.0802,9.43125392743,81.9115853666,2.435,14.915,0.64543191084,Very high,Very high,North Lawndale,12.1,7.7,19.0,32.8,19.2,42.5,"1,572",64.521,64.521,64.521,96.0,1.0,2144.0
17031540101,54,54,Census Tract 5401.01,0.0411,5.76589366275,72.3839529416,1.431,30.2555,-0.59557286611,Very low,High,Riverdale,15.8,11.5,24.1,43.2,27.2,51.3,"4,324",37.836,38.775,40.539,60.0,4.0,3881.0
17031440201,44,44,Census Tract 4402.01,0.0316,9.80722491092,78.8836488818,2.153,17.7488,0.39394965651,High,High,Chatham,13.4,8.5,18.1,32.2,18.7,43.9,"5,054",38.938,38.844,39.501,62.0,4.0,4805.0
17031080202,8,8,Census Tract 802.02,-0.3901,9.50543559867,77.7118644068,3.945,17.3234,0.59138476613,Very high,Very low,Near North Side,9.2,3.1,21.4,11.9,13.2,23.6,"4,225",23.095,22.942,24.628,29.3,3.0,3506.0
17031070102,7,7,Census Tract 701.02,-0.174,9.08122069307,77.9733333338,2.876,11.4068,0.50913610333,High,Low,Lincoln Park,9.1,2.2,21.6,10.3,13.8,22.2,"3,063",12.209,12.336,13.415,4.0,3.0,2879.0
17031031501,3,3,Census Tract 315.01,0.0617,8.5195509876,77.9798816564,2.645,10.9577,0.47933318189,High,Very high,Uptown,10.9,9.0,20.8,31.7,18.5,35.7,"4,155",37.095,37.639,38.831,58.3,3.0,4033.0
17031031502,3,3,Census Tract 315.02,0.0551,8.42051569829,76.7562499994,2.549,10.0051,0.40318475294,High,Very high,Uptown,10.9,6.5,20.9,25.7,18.1,36.1,"4,712",33.412,33.106,34.969,51.3,3.0,4439.0
17031834900,67,67,Census Tract 8349,0.0362,6.22894185372,75.751123595,1.845,29.7728,-0.29315445487,Low,High,West Englewood,13.5,10.9,18.9,40.1,21.3,45.5,"1,952",43.805,44.038,44.723,72.5,2.0,1859.0
17031834800,68,68,Census Tract 8348,0.04,9.50363890993,77.9941089842,2.011,22.5633,0.21434248204,Medium,High,Englewood,13.4,10.6,18.4,37.2,19.9,45.3,"1,753",54.254,55.115,57.875,87.3,3.0,1566.0
17031160502,16,16,Census Tract 1605.02,0.0274,8.99539398668,81.5104651154,3.244,24.6429,0.57449745636,Very high,High,Irving Park,9.1,4.8,19.1,24.8,15.4,31.0,"3,300",28.022,27.779,28.828,41.0,3.0,3905.0
17031140702,14,14,Census Tract 1407.02,0.0729,8.76352021563,80.1039665966,3.053,24.2194,0.46152571362,High,Very high,Albany Park,9.0,4.3,18.8,25.3,15.6,31.3,"5,535",25.382,25.526,29.055,34.5,4.0,6154.0
17031842000,35,35,Census Tract 8420,0.0162,9.44574567771,79.4522935778,1.944,20.8019,0.30099529714,High,Medium,Douglas,9.9,4.5,17.7,20.7,16.9,26.3,"2,590",32.232,31.368,34.502,49.0,2.0,3106.0
17031150402,15,15,Census Tract 1504.02,0.054,8.98897281392,84.796725785,2.805,19.1039,0.76438300874,Very high,Very high,Portage Park,9.4,5.8,19.9,23.5,15.2,30.6,"3,831",14.599,13.191,17.188,9.3,3.0,3668.0
17031834400,42,42,Census Tract 8344,0.0198,8.93411682625,77.8066037744,1.961,17.0538,0.24715506421,Medium,Medium,Woodlawn,12.5,5.6,17.8,24.5,17.1,40.0,"3,765",27.596,26.941,32.233,39.3,3.0,4487.0
17031040201,4,4,Census Tract 402.01,0.0476,8.58808514753,80.2643304128,3.01,18.2476,0.54878346393,Very high,Very high,Lincoln Square,9.1,3.3,20.4,14.9,14.0,25.9,"6,408",19.343,19.345,22.679,20.5,4.0,7040.0
17031040202,4,4,Census Tract 402.02,0.041,8.70229669788,79.9514503808,3.179,18.6588,0.56522367249,Very high,High,Lincoln Square,9.5,6.8,19.5,26.9,15.6,30.5,"7,318",33.082,33.468,37.068,50.2,4.0,7194.0
17031020702,2,2,Census Tract 207.02,0.0554,7.65836372655,79.2560538122,2.765,24.0644,0.28110249959,High,Very high,West Ridge,9.1,5.9,17.7,25.5,15.0,25.8,"7,717",29.942,30.723,34.515,44.5,4.0,7843.0
17031020802,2,2,Census Tract 208.02,0.0685,8.57398286629,80.3297520662,2.968,22.8472,0.46659402473,High,Very high,West Ridge,9.1,6.2,17.3,30.2,15.9,27.8,"7,546",24.401,24.941,27.719,32.5,4.0,7857.0
17031020301,2,2,Census Tract 203.01,-0.0157,8.19902946506,80.417647058,2.692,22.8416,0.37337895722,High,Medium,West Ridge,9.3,6.3,18.9,20.4,13.0,26.1,"5,261",21.478,20.963,24.816,25.3,3.0,5295.0
